time_s,cube_z_m,finger_half_gap_m,finger_z_m,contacts
3.161999999999999922e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.163000000000000256e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.164000000000000146e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.165000000000000036e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.165999999999999925e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.167000000000000259e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.168000000000000149e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.169000000000000039e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.169999999999999929e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.171000000000000263e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.172000000000000153e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.173000000000000043e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.173999999999999932e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.175000000000000266e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.176000000000000156e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.177000000000000046e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.177999999999999936e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.179000000000000270e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.180000000000000160e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.181000000000000050e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.181999999999999940e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.183000000000000274e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.184000000000000163e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.185000000000000053e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.185999999999999943e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.187000000000000277e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.188000000000000167e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.189000000000000057e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.189999999999999947e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.191000000000000281e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.192000000000000171e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.193000000000000060e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.193999999999999950e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.195000000000000284e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.196000000000000174e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.197000000000000064e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.197999999999999954e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.199000000000000288e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.200000000000000178e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.201000000000000068e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.201999999999999957e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.202999999999999847e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.204000000000000181e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.205000000000000071e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.205999999999999961e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.206999999999999851e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.208000000000000185e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.209000000000000075e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.209999999999999964e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.210999999999999854e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.212000000000000188e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.213000000000000078e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
