time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
7.188,8.0,0.0005201782639504678,0.01147749651724474,6.348599281440405,0.0005201782639504678,0.010957318253294273,6.337121784923161,8
7.1885,8.0,0.0005201782639505053,0.01147749652163059,6.351565671089337,0.0005201782639505053,0.010957318257680084,6.340088174567707,8
7.189,8.0,0.0005201782639505428,0.011477496526016439,6.354534060738268,0.0005201782639505428,0.010957318262065896,6.343056564212252,8
7.1895,8.0,0.0005201782639505802,0.011477496530402288,6.357504450387199,0.0005201782639505802,0.010957318266451709,6.346026953856797,8
7.19,8.0,0.0005201782639506176,0.011477496534788138,6.360476840036131,0.0005201782639506176,0.01095731827083752,6.348999343501342,8
7.1905,8.0,0.0005201782639506551,0.011477496539173987,6.363451229685062,0.0005201782639506551,0.010957318275223333,6.351973733145887,8
7.191,8.0,0.0005201782639506926,0.011477496543559836,6.366427619333993,0.0005201782639506926,0.010957318279609144,6.354950122790433,8
7.1915000000000004,8.0,0.00052017826395073,0.011477496547945686,6.369406008982924,0.00052017826395073,0.010957318283994955,6.357928512434978,8
7.192,8.0,0.0005201782639507674,0.011477496552331535,6.372386398631855,0.0005201782639507674,0.010957318288380768,6.360908902079523,8
7.1925,8.0,0.0005201782639508048,0.011477496556717384,6.375368788280786,0.0005201782639508048,0.010957318292766579,6.363891291724069,8
7.1930000000000005,8.0,0.0005201782639508423,0.011477496561103234,6.378353177929718,0.0005201782639508423,0.010957318297152392,6.366875681368614,8
7.1935,8.0,0.0005201782639508799,0.011477496565489083,6.3813395675786495,0.0005201782639508799,0.010957318301538203,6.36986207101316,8
7.194,8.0,0.0005201782639509173,0.011477496569874932,6.384327957227581,0.0005201782639509173,0.010957318305924014,6.372850460657705,8
7.194500000000001,8.0,0.0005201782639509547,0.011477496574260782,6.387318346876512,0.0005201782639509547,0.010957318310309827,6.375840850302251,8
7.195,8.0,0.0005201782639509921,0.01147749657864663,6.390310736525444,0.0005201782639509921,0.010957318314695638,6.378833239946797,8
7.1955,8.0,0.0005201782639510296,0.01147749658303248,6.393305126174375,0.0005201782639510296,0.010957318319081451,6.381827629591342,8
7.196,8.0,0.0005201782639510671,0.01147749658741833,6.396301515823306,0.0005201782639510671,0.010957318323467262,6.384824019235888,8
7.1965,8.0,0.0005201782639511045,0.011477496591804179,6.399299905472238,0.0005201782639511045,0.010957318327853075,6.387822408880433,8
7.197,8.0,0.0005201782639511419,0.011477496596190028,6.402300295121169,0.0005201782639511419,0.010957318332238886,6.390822798524979,8
7.1975,8.0,0.0005201782639511793,0.011477496600575877,6.4053026847701,0.0005201782639511793,0.010957318336624697,6.393825188169524,8
7.198,8.0,0.0005201782639512168,0.011477496604961727,6.408307074419032,0.0005201782639512168,0.01095731834101051,6.39682957781407,8
7.1985,8.0,0.0005201782639512543,0.011477496609347576,6.4113134640679625,0.0005201782639512543,0.010957318345396322,6.399835967458615,8
7.199,8.0,0.0005201782639512918,0.011477496613733425,6.414321853716894,0.0005201782639512918,0.010957318349782134,6.40284435710316,8
