time_s,x_m,y_m,z_m
8.300000000000000711e-01,-2.304345741868019104e-02,-3.047083970159292221e-03,4.997238889336585999e-02
8.349999999999999645e-01,-2.304342202842235565e-02,-3.047226229682564735e-03,4.997228458523750305e-02
8.399999999999999689e-01,-2.304336242377758026e-02,-3.047395264729857445e-03,4.997222125530242920e-02
8.449999999999999734e-01,-2.304331958293914795e-02,-3.047873033210635185e-03,4.997228831052780151e-02
8.499999999999999778e-01,-2.304330840706825256e-02,-3.048474667593836784e-03,4.997248575091362000e-02
8.549999999999999822e-01,-2.304328791797161102e-02,-3.048960119485855103e-03,4.997239634394645691e-02
8.599999999999999867e-01,-2.304328419268131256e-02,-3.049148712307214737e-03,4.997240379452705383e-02
8.649999999999999911e-01,-2.304322458803653717e-02,-3.049445338547229767e-03,4.997238516807556152e-02
8.699999999999999956e-01,-2.304324321448802948e-02,-3.049695165827870369e-03,4.997244104743003845e-02
8.750000000000000000e-01,-2.304327115416526794e-02,-3.049472812563180923e-03,4.997248575091362000e-02
8.800000000000000044e-01,-2.304334379732608795e-02,-3.049277467653155327e-03,4.997259750962257385e-02
8.850000000000000089e-01,-2.304334193468093872e-02,-3.049090038985013962e-03,4.997256770730018616e-02
8.900000000000000133e-01,-2.304334938526153564e-02,-3.048856742680072784e-03,4.997253417968750000e-02
8.950000000000000178e-01,-2.304343320429325104e-02,-3.048317739740014076e-03,4.997253045439720154e-02
9.000000000000000222e-01,-2.304347045719623566e-02,-3.047889331355690956e-03,4.997260496020317078e-02
9.050000000000000266e-01,-2.304351702332496643e-02,-3.047614125534892082e-03,4.997264966368675232e-02
9.100000000000000311e-01,-2.304357104003429413e-02,-3.047091187909245491e-03,4.997256025671958923e-02
9.150000000000000355e-01,-2.304365858435630798e-02,-3.046277444809675217e-03,4.997253790497779846e-02
9.200000000000000400e-01,-2.304374426603317261e-02,-3.045420162379741669e-03,4.997253417968750000e-02
9.250000000000000444e-01,-2.304373495280742645e-02,-3.044848795980215073e-03,4.997239634394645691e-02
9.300000000000000488e-01,-2.304370701313018799e-02,-3.044407814741134644e-03,4.997223988175392151e-02
9.350000000000000533e-01,-2.304367721080780029e-02,-3.044197335839271545e-03,4.997212439775466919e-02
9.400000000000000577e-01,-2.304369211196899414e-02,-3.043950535356998444e-03,4.997205734252929688e-02
9.450000000000000622e-01,-2.304370887577533722e-02,-3.043750766664743423e-03,4.997212067246437073e-02
9.500000000000000666e-01,-2.304368838667869568e-02,-3.043919568881392479e-03,4.997216910123825073e-02
9.550000000000000711e-01,-2.304366417229175568e-02,-3.044327953830361366e-03,4.997228458523750305e-02
9.599999999999999645e-01,-2.304361201822757721e-02,-3.044879296794533730e-03,4.997231438755989075e-02
9.649999999999999689e-01,-2.304357849061489105e-02,-3.045453457161784172e-03,4.997238889336585999e-02
9.699999999999999734e-01,-2.304358780384063721e-02,-3.045876743271946907e-03,4.997247830033302307e-02
9.749999999999999778e-01,-2.304360456764698029e-02,-3.046162426471710205e-03,4.997255280613899231e-02
9.799999999999999822e-01,-2.304361015558242798e-02,-3.046293510124087334e-03,4.997261986136436462e-02
9.849999999999999867e-01,-2.304355986416339874e-02,-3.046603640541434288e-03,4.997264221310615540e-02
9.899999999999999911e-01,-2.304351329803466797e-02,-3.047123318538069725e-03,4.997263103723526001e-02
9.949999999999999956e-01,-2.304346486926078796e-02,-3.047483740374445915e-03,4.997253417968750000e-02
1.000000000000000000e+00,-2.304345369338989258e-02,-3.047718200832605362e-03,4.997261241078376770e-02
1.005000000000000115e+00,-2.304340340197086334e-02,-3.048030892387032509e-03,4.997258260846138000e-02
1.010000000000000009e+00,-2.304338850080966949e-02,-3.048131009563803673e-03,4.997248575091362000e-02
1.015000000000000124e+00,-2.304338105022907257e-02,-3.047942882403731346e-03,4.997243359684944153e-02
1.020000000000000018e+00,-2.304338663816452026e-02,-3.047890495508909225e-03,4.997248202562332153e-02
1.024999999999999911e+00,-2.304335869848728180e-02,-3.047937992960214615e-03,4.997241497039794922e-02
1.030000000000000027e+00,-2.304335311055183411e-02,-3.047996200621128082e-03,4.997240751981735229e-02
1.034999999999999920e+00,-2.304341271519660950e-02,-3.047854639589786530e-03,4.997242987155914307e-02
1.040000000000000036e+00,-2.304349280893802643e-02,-3.047431586310267448e-03,4.997243732213973999e-02
1.044999999999999929e+00,-2.304350771009922028e-02,-3.046876518055796623e-03,4.997242987155914307e-02
1.050000000000000044e+00,-2.304352074861526489e-02,-3.046577563509345055e-03,4.997242987155914307e-02
1.054999999999999938e+00,-2.304350212216377258e-02,-3.046297701075673103e-03,4.997233301401138306e-02
