time_s,x_m,y_m,z_m
9.799999999999999822e-01,3.518241555866552517e-06,2.663362465682439506e-06,3.699862957000732422e-02
9.849999999999999867e-01,3.523654186210478656e-06,2.658418679857277311e-06,3.699862211942672729e-02
9.899999999999999911e-01,3.517173581712995656e-06,2.656579681570292450e-06,3.699862211942672729e-02
9.949999999999999956e-01,3.515626076477929018e-06,2.665005922608543187e-06,3.699861839413642883e-02
1.000000000000000000e+00,3.534439429131452926e-06,2.673859398782951757e-06,3.699861466884613037e-02
1.005000000000000115e+00,3.513971932989079505e-06,2.670820322236977518e-06,3.699861839413642883e-02
1.010000000000000009e+00,3.519839538057567552e-06,2.661742882992257364e-06,3.699861839413642883e-02
1.015000000000000124e+00,3.513032197588472627e-06,2.672378514034789987e-06,3.699862211942672729e-02
1.020000000000000018e+00,3.515776370477396995e-06,2.663397935975808650e-06,3.699861839413642883e-02
1.024999999999999911e+00,3.525591864672605880e-06,2.668877414180315100e-06,3.699861839413642883e-02
1.030000000000000027e+00,3.520094878695090301e-06,2.665578222149633802e-06,3.699861094355583191e-02
1.034999999999999920e+00,3.518917537803645246e-06,2.670728463272098452e-06,3.699861094355583191e-02
1.040000000000000036e+00,3.510166834530537017e-06,2.664690100573352538e-06,3.699860721826553345e-02
1.044999999999999929e+00,3.522564156810403802e-06,2.673071094250190072e-06,3.699861466884613037e-02
1.050000000000000044e+00,3.519523261275026016e-06,2.670280764505150728e-06,3.699860721826553345e-02
1.054999999999999938e+00,3.522138513289974071e-06,2.663874056452186778e-06,3.699861839413642883e-02
1.060000000000000053e+00,3.518191078910604119e-06,2.668523165993974544e-06,3.699861466884613037e-02
1.064999999999999947e+00,3.517606046443688683e-06,2.669628656803979538e-06,3.699861466884613037e-02
1.070000000000000062e+00,3.526256250552251004e-06,2.672870550668449141e-06,3.699860721826553345e-02
1.074999999999999956e+00,3.513448973535560071e-06,2.665538886503782123e-06,3.699861094355583191e-02
1.080000000000000071e+00,3.512250486892298795e-06,2.661379085111548193e-06,3.699860349297523499e-02
1.084999999999999964e+00,3.507368774080532603e-06,2.669539981070556678e-06,3.699861466884613037e-02
1.090000000000000080e+00,3.507717110551311634e-06,2.665844249349902384e-06,3.699862211942672729e-02
1.094999999999999973e+00,3.514816626193351112e-06,2.667095714059541933e-06,3.699861466884613037e-02
1.100000000000000089e+00,3.521510507198399864e-06,2.675278437891392969e-06,3.699861839413642883e-02
1.104999999999999982e+00,3.509751877572853118e-06,2.661628059286158532e-06,3.699861839413642883e-02
1.110000000000000098e+00,3.520156042213784531e-06,2.660399104570387863e-06,3.699861094355583191e-02
1.114999999999999991e+00,3.517367986205499619e-06,2.669569084901013412e-06,3.699860721826553345e-02
1.120000000000000107e+00,3.512463536026189104e-06,2.667403805389767513e-06,3.699861094355583191e-02
1.125000000000000000e+00,3.515352091199019924e-06,2.665666443135705777e-06,3.699861839413642883e-02
1.130000000000000115e+00,3.516893457344849594e-06,2.673878270798013546e-06,3.699861839413642883e-02
1.135000000000000009e+00,3.516192919050808996e-06,2.675956920938915573e-06,3.699861094355583191e-02
1.140000000000000124e+00,3.517631512295338325e-06,2.663852910700370558e-06,3.699861094355583191e-02
1.145000000000000018e+00,3.511569275360670872e-06,2.674171810213010758e-06,3.699861094355583191e-02
1.150000000000000133e+00,3.503202151478035375e-06,2.672428990990738384e-06,3.699861094355583191e-02
1.155000000000000027e+00,3.512958755891304463e-06,2.670672984095290303e-06,3.699862211942672729e-02
1.159999999999999920e+00,3.507507699396228418e-06,2.668127763172378764e-06,3.699861839413642883e-02
1.165000000000000036e+00,3.515909156703855842e-06,2.664923385964357294e-06,3.699862211942672729e-02
1.169999999999999929e+00,3.519311121635837480e-06,2.674682036740705371e-06,3.699861466884613037e-02
