time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.5200000000000005,transfer,6.5200000000000005,0.3722939,0.121804275,0.19464277,0.008199451491236687,0.3853720512513349,0.021366250412351684,0,0.002215938875451684,256,0,-1,61.891891422492165,8.327532065019543,0.1681870571738827,3,60.73794016672694,15.160470658300383,0.3120057787744482,3
6.53,transfer,6.53,0.3714995,0.124582075,0.19461624,0.008283629082143307,0.3912767714868591,0.021365281774107805,0,0.002215584507212043,256,0,-1,61.889428237905854,8.33314775044964,0.1683071727213376,3,60.736831998177365,15.155135973275907,0.3119016804690005,3
6.54,transfer,6.54,0.3706845,0.12735482,0.19458924,0.00836843904107809,0.3971830339391016,0.021364403283240192,0,0.002215470653027296,256,0,-1,61.886732139754656,8.33849809059541,0.1684225722196225,3,60.73597729662599,15.149578984318257,0.31179170194154116,3
6.55,transfer,6.55,0.36984885,0.13012259,0.1945618,0.008453859947621822,0.4030908220680779,0.02136343546902409,0,0.0022150767035782337,256,0,-1,61.884172603752496,8.344182171835834,0.16854435109894852,3,60.73497734325284,15.144304486682096,0.3116882797430669,3
6.5600000000000005,transfer,6.5600000000000005,0.36899266,0.1328849,0.19453387,0.008540123701095581,0.4090012950974482,0.021362507473194244,0,0.00221489230170846,256,0,-1,61.88156769101625,8.34956299994341,0.16866013805665855,3,60.73375169133794,15.138737657577582,0.31157999538946485,3
6.57,transfer,6.57,0.36811587,0.13564198,0.19450548,0.008626806549727917,0.41491381160097596,0.021361619036637153,0,0.0022145190741866827,256,0,-1,61.878761813042885,8.354995934459842,0.1687775354915627,3,60.732799484053324,15.13323670786815,0.3114716602155335,3
6.58,transfer,6.58,0.36721858,0.13839348,0.19447665,0.008714034222066402,0.42082776649363557,0.021360649093593906,0,0.0022141605149954557,256,0,-1,61.87680125441501,8.360874921879335,0.16890164715170156,3,60.73190881626486,15.128172238425421,0.3113719898915371,3
6.59,transfer,6.59,0.36630082,0.14113916,0.19444737,0.008801932446658611,0.4267442773886552,0.02135970847343899,0,0.002214079024270177,256,0,-1,61.874079064027704,8.36626565613485,0.16901798343288033,3,60.73115705247766,15.122664831085117,0.31126248792727707,3
6.6000000000000005,transfer,6.6000000000000005,0.36536264,0.14387904,0.19441764,0.008890264667570591,0.43266162558654164,0.021358753107050186,0,0.002213703002780676,256,0,-1,61.87182586116289,8.372218208867306,0.1691443983658677,3,60.730140932209295,15.117673325026036,0.3111649564155735,3
6.61,transfer,6.61,0.36440405,0.14661287,0.19438747,0.008979110978543758,0.43858092446740543,0.02135779278251088,0,0.0022135137114673853,256,0,-1,61.86869677968973,8.377312143472237,0.16925587129512526,3,60.72899012007326,15.111793628870544,0.31104982972282946,3
