time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
0.0855,0.0,-4.683163e-09,1.0789107e-05,-4.15124e-06,-4.683163e-09,1.079379e-05,-1.4940348e-05,4
0.08600000000000001,0.0,-5.9835332e-09,1.08009235e-05,-4.146432e-06,-5.9835332e-09,1.0806907e-05,-1.4947355e-05,8
0.08650000000000001,0.0,-5.589926e-09,1.081274e-05,-4.141624e-06,-5.589926e-09,1.0818329e-05,-1.4954363e-05,4
0.08700000000000001,0.0,-4.8697775e-09,1.0824556e-05,-4.1368157e-06,-4.8697775e-09,1.0829425e-05,-1.4961372e-05,4
0.08750000000000001,0.0,-4.1941206e-09,1.0833149e-05,-4.1287844e-06,-4.1941206e-09,1.0837342e-05,-1.4961934e-05,8
0.088,0.0,-3.6344063e-09,1.0841742e-05,-4.120753e-06,-3.6344063e-09,1.0845376e-05,-1.4962495e-05,4
0.0885,0.0,-4.078319e-09,1.0852831e-05,-4.112722e-06,-4.078319e-09,1.0856909e-05,-1.4965553e-05,8
0.089,0.0,-3.734388e-09,1.0863921e-05,-4.1046906e-06,-3.734388e-09,1.0867655e-05,-1.4968611e-05,4
0.0895,0.0,-3.238591e-09,1.087501e-05,-4.0966593e-06,-3.238591e-09,1.0878249e-05,-1.4971669e-05,4
0.09,0.0,-2.8209235e-09,1.0884192e-05,-4.0867208e-06,-2.8209235e-09,1.0887014e-05,-1.4970913e-05,8
0.0905,0.0,-2.4183202e-09,1.0893375e-05,-4.0767823e-06,-2.4183202e-09,1.0895793e-05,-1.4970157e-05,4
0.091,0.0,-2.2065163e-09,1.0903838e-05,-4.0668438e-06,-2.2065163e-09,1.0906045e-05,-1.4970682e-05,8
0.0915,0.0,-1.9509359e-09,1.0914302e-05,-4.0569053e-06,-1.9509359e-09,1.0916253e-05,-1.4971207e-05,4
0.092,0.0,-1.6869395e-09,1.0924766e-05,-4.0469668e-06,-1.6869395e-09,1.0926453e-05,-1.49717325e-05,4
0.0925,0.0,-1.4213148e-09,1.0934484e-05,-4.036283e-06,-1.4213148e-09,1.0935905e-05,-1.4970767e-05,8
0.093,0.0,-1.2627573e-09,1.0944202e-05,-4.025599e-06,-1.2627573e-09,1.0945464e-05,-1.4969801e-05,4
0.0935,0.0,-5.9401517e-10,1.0953847e-05,-4.0149152e-06,-5.9401517e-10,1.0954441e-05,-1.4968762e-05,8
0.094,0.0,-3.5772588e-10,1.0963492e-05,-4.0042314e-06,-3.5772588e-10,1.09638495e-05,-1.49677235e-05,4
0.0945,0.0,-3.1220573e-10,1.097309e-05,-3.9935003e-06,-3.1220573e-10,1.0973402e-05,-1.496659e-05,8
0.095,0.0,-3.034417e-10,1.0982688e-05,-3.982769e-06,-3.034417e-10,1.0982992e-05,-1.4965457e-05,4
0.0955,0.0,4.4568116e-10,1.0991724e-05,-3.972038e-06,4.4568116e-10,1.0991278e-05,-1.4963762e-05,8
0.096,0.0,4.826879e-10,1.10007595e-05,-3.961307e-06,4.826879e-10,1.1000277e-05,-1.4962066e-05,4
0.0965,0.0,3.8240353e-10,1.1009795e-05,-3.950576e-06,3.8240353e-10,1.1009413e-05,-1.4960371e-05,4
0.097,0.0,3.6306771e-10,1.1019246e-05,-3.940259e-06,3.6306771e-10,1.1018883e-05,-1.4959505e-05,8
0.0975,0.0,3.5934491e-10,1.10286965e-05,-3.929942e-06,3.5934491e-10,1.1028337e-05,-1.49586385e-05,4
0.098,0.0,1.4399636e-09,1.1037125e-05,-3.919625e-06,1.4399636e-09,1.1035685e-05,-1.49567495e-05,8
0.0985,0.0,1.4335297e-09,1.1045553e-05,-3.9093084e-06,1.4335297e-09,1.104412e-05,-1.4954861e-05,4
0.099,0.0,1.2175012e-09,1.1053981e-05,-3.8989915e-06,1.2175012e-09,1.10527635e-05,-1.4952973e-05,4
0.0995,0.0,1.0684954e-09,1.1063309e-05,-3.8895737e-06,1.0684954e-09,1.106224e-05,-1.4952882e-05,8
0.1,0.0,9.324193e-10,1.1072637e-05,-3.880156e-06,9.324193e-10,1.1071705e-05,-1.4952793e-05,4
0.1005,0.0,2.3746694e-09,1.10800975e-05,-3.870738e-06,2.3746694e-09,1.1077723e-05,-1.4950836e-05,8
0.101,0.0,2.3305353e-09,1.1087558e-05,-3.8613202e-06,2.3305353e-09,1.1085228e-05,-1.4948879e-05,4
0.1015,0.0,1.9998387e-09,1.1096418e-05,-3.853301e-06,1.9998387e-09,1.1094418e-05,-1.4949719e-05,8
0.10200000000000001,0.0,1.7213444e-09,1.1105279e-05,-3.845282e-06,1.7213444e-09,1.1103557e-05,-1.4950561e-05,4
0.10250000000000001,0.0,3.0251883e-09,1.1112075e-05,-3.837263e-06,3.0251883e-09,1.110905e-05,-1.4949339e-05,8
