solver,integrator,cone,iterations,dt_s,softness,steps_planned,steps_completed,stable,mse_velocity_error,final_box_speed_error,final_ball_speed_error,max_contacts,step_rate_hz,wall_s
cg,implicit,pyramidal,100,0.0005,soft_40ms,8000,8000,True,36.241094123683396,13.641603809763994,0.9035850136764058,29,745.998690367442,10.723879416007549
cg,implicit,pyramidal,100,0.0005,stiff_4ms,8000,8000,True,34.29549727914348,13.119174432217159,0.8508891556191098,29,1308.5243388727001,6.113757124985568
cg,implicit,pyramidal,100,0.001,default,4000,4000,True,35.36352689044988,13.485343188986555,0.8740943922872328,29,833.9447913909771,4.796480583958328
cg,implicit,pyramidal,100,0.001,soft_40ms,4000,4000,True,36.26423521049471,13.742631939018233,0.9041285064806337,29,732.9291299526444,5.457553584012203
cg,implicit,pyramidal,100,0.001,stiff_4ms,4000,4000,True,34.29859565604463,13.204710555452747,0.8512318918816927,29,1435.9063891833393,2.7856969159911387
cg,implicit,pyramidal,100,0.002,default,2000,2000,True,35.024163517503716,13.414402613836518,0.8717117767254611,29,864.5947531244849,2.31322245800402
cg,implicit,pyramidal,100,0.002,soft_40ms,2000,2000,True,36.33844484171837,13.846142303963674,0.9113518632167329,29,724.9304768967663,2.7588852500193752
cg,implicit,pyramidal,100,0.002,stiff_4ms,2000,2000,True,35.524194268167086,13.323381806332623,0.8622414278151301,29,3140.8619664009707,0.6367678749957122
cg,implicit,pyramidal,500,0.0005,default,8000,8000,True,35.37989270955737,13.476538895252766,0.8718092967382862,29,231.33615672363723,34.58171050000237
cg,implicit,pyramidal,500,0.0005,soft_40ms,8000,8000,True,36.56126481827953,13.797832961267842,0.9106384771765506,29,199.69510738229332,40.06107162497938
cg,implicit,pyramidal,500,0.0005,stiff_4ms,8000,8000,True,34.345239466149934,13.168631226123965,0.8502581105408531,29,460.3910442115731,17.376532624999527
cg,implicit,pyramidal,500,0.001,default,4000,4000,True,35.272443852419286,13.362628492445197,0.8713246282586967,29,233.34770098926865,17.14180162496632
cg,implicit,pyramidal,500,0.001,soft_40ms,4000,4000,True,36.13493736874311,13.693051904167934,0.8998063306869473,29,184.20181964395485,21.715312083950266
cg,implicit,pyramidal,500,0.001,stiff_4ms,4000,4000,True,34.672999547316024,13.238521105220384,0.8531176767511778,29,535.8243270478818,7.465133249992505
cg,implicit,pyramidal,500,0.002,default,2000,2000,True,35.550597676796706,13.720090744138577,0.8757282045061341,29,232.34620129959762,8.607844625017606
cg,implicit,pyramidal,500,0.002,soft_40ms,2000,2000,True,35.929219577910786,13.578421894500432,0.9057545667108078,29,172.85420562130932,11.570444542041514
cg,implicit,pyramidal,500,0.002,stiff_4ms,2000,2000,True,34.976127045114744,13.18347743722518,0.856737978757749,29,1064.681366968446,1.878496291988995
cg,implicit,elliptic,20,0.0005,default,8000,8000,True,0.0037645863331557776,0.07286540797510593,0.10544025480931385,29,4210.780070639348,1.8998855000245385
cg,implicit,elliptic,20,0.0005,soft_40ms,8000,8000,True,0.003602423369895368,0.04274704023347984,0.16396772248089417,29,4122.621537929908,1.940512833010871
cg,implicit,elliptic,20,0.0005,stiff_4ms,8000,8000,True,0.0034360414012650983,0.06142482302085025,0.03516895954534297,29,5354.045759175846,1.4941971660009585
cg,implicit,elliptic,20,0.001,default,4000,4000,True,0.005848021326075737,0.03259739136832314,0.13257658837726954,29,4598.8517452818,0.8697823329712264
cg,implicit,elliptic,20,0.001,soft_40ms,4000,4000,True,0.005989230482476791,0.13367423838742165,0.07395979990790297,29,4334.324120887418,0.9228659159853123
cg,implicit,elliptic,20,0.001,stiff_4ms,4000,4000,True,0.0081845163157219,0.030265982792779263,0.09137311399969335,29,6224.36945650985,0.6426353750284761
cg,implicit,elliptic,20,0.002,default,2000,2000,True,0.011942024328994666,0.06593859396052937,0.13556502483967142,29,4370.645292403294,0.4575983330141753
cg,implicit,elliptic,20,0.002,soft_40ms,2000,2000,True,0.01031069730459135,0.0470045373161083,0.19439535915735154,29,4346.938187015123,0.46009395900182426
cg,implicit,elliptic,20,0.002,stiff_4ms,2000,2000,True,0.032344683603664784,0.29435204801340603,0.0741934823387503,29,7233.481270133911,0.2764920410118066
cg,implicit,elliptic,100,0.0005,default,8000,8000,True,0.004454367130782162,0.05031358819976972,0.060489522691881036,29,1590.2530344493512,5.030645958031528
cg,implicit,elliptic,100,0.0005,soft_40ms,8000,8000,True,0.003956876154468279,0.050098961104387,0.016290772979408893,29,1537.1525693831181,5.204428083030507
cg,implicit,elliptic,100,0.0005,stiff_4ms,8000,8000,True,0.004735830806847005,0.065637864761003,0.023849530964000568,29,2241.673880298149,3.5687617500079796
cg,implicit,elliptic,100,0.001,default,4000,4000,True,0.006926909885080267,0.060531629104010595,0.05918852490498326,29,1618.4633764581693,2.4714800830115564
cg,implicit,elliptic,100,0.001,soft_40ms,4000,4000,True,0.00556295624097472,0.05742846508321531,0.09016608124221938,29,1514.6361900449729,2.6408982079592533
