sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
solimp_dmax,mujoco,3.12.0,0.5,1.0,1.0,0.999,0.999,implicitfast,Newton,100,0.9732566858285429,6,0.6530422009271417,0.006003057322893148,0.006,0.0030573228931478694,0.006223093679027401,0.00010762033783411062,0.00015645945879334906,0.224,13,True,True,False,False,0.16402479200041853
dampratio,mujoco,3.12.0,0.5,2.0,0.5,0.95,0.99,implicitfast,Newton,100,1.3519120219945013,8,0.7075523066095017,0.0059993166786682,0.006,0.0006833213318001644,0.6647153055664553,0.00024076671484817014,4.0567070088335756e-05,1.1535,13,True,True,False,False,0.16870249999919906
dampratio,mujoco,3.12.0,0.5,2.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1937015746063484,7,1.062516190464926,0.005996543585583628,0.006,0.0034564144163725177,0.0020667271339531498,6.476618469655748e-05,3.939398612087012e-05,0.197,13,True,True,False,False,0.16651999999885447
dampratio,mujoco,3.12.0,0.5,2.0,2.0,0.95,0.99,implicitfast,Newton,100,0.9735066233441639,4,1.0415026719718636,0.005985852351631504,0.006,0.01414764836849599,0.0012217623186073206,1.1758292937404102e-05,4.078374034087481e-05,0.2155,13,True,True,False,False,0.1675798750075046
solimp_dmax,mujoco,3.12.0,0.5,2.0,1.0,0.9,0.9,implicitfast,Newton,100,1.1297175706073481,5,1.0067255767733534,0.005993549177183505,0.006,0.006450822816495352,0.008848826077892393,6.432423315522184e-05,8.384080801116905e-05,2.0,13,True,True,False,False,0.16803433300810866
solimp_dmax,mujoco,3.12.0,0.5,2.0,1.0,0.95,0.95,implicitfast,Newton,100,1.1999500124968758,5,1.0315431232465826,0.005996791637900261,0.006,0.0032083620997392856,0.005949278619862966,7.151268742976169e-05,3.69322834022771e-05,0.2135,13,True,True,False,False,0.16924387498875149
solimp_dmax,mujoco,3.12.0,0.5,2.0,1.0,0.99,0.99,implicitfast,Newton,100,1.2091977005748562,5,1.0523151010221237,0.00599952361889011,0.006,0.0004763811098902962,0.002856912117751701,0.0013216997138722208,0.00016276217409675874,1.9695,13,True,True,False,False,0.1682183749799151
solimp_dmax,mujoco,3.12.0,0.5,2.0,1.0,0.999,0.999,implicitfast,Newton,100,0.9835041239690078,5,1.0565020674528385,0.005999920578690359,0.006,7.942130964087163e-05,0.0008183254497509512,0.0013778082995482763,9.309561872331098e-05,1.809,13,True,True,False,False,0.16676970801199786
dampratio,mujoco,3.12.0,0.5,4.0,0.5,0.95,0.99,implicitfast,Newton,100,1.1622094476380904,9,1.690134514000256,0.005996514328161918,0.006,0.003485671838081815,5.181982791871197,0.00012687106077519106,6.873816975672756e-05,0.7165,13,True,True,False,False,0.16492700000526384
dampratio,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9807548112971757,5,2.06078933690003,0.005985852700907447,0.006,0.014147299092552752,0.0017514125376300036,1.8551313441146633e-05,5.813012569947047e-05,0.20650000000000002,13,True,True,False,False,0.16687258300953545
dampratio,mujoco,3.12.0,0.5,4.0,2.0,0.95,0.99,implicitfast,Newton,100,0.9817545613596601,3,2.2185283209860205,0.005943150807367864,0.006,0.056849192632136246,0.0019001297867866,3.662475322151193e-06,5.767644836649805e-05,0.2935,13,True,True,False,False,0.171705333981663
solimp_dmax,mujoco,3.12.0,0.5,4.0,1.0,0.9,0.9,implicitfast,Newton,100,0.9780054986253437,4,1.951469046934108,0.005973864446276477,0.006,0.02613555372352281,0.011218702197043039,1.2518946271994347e-05,0.00012762043776700263,1.9955,13,True,True,False,False,0.16529808298218995
solimp_dmax,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.95,implicitfast,Newton,100,0.979005248687828,5,2.010052578334596,0.005986984223851331,0.006,0.013015776148669542,0.0020365238009649273,2.0619427600239437e-05,5.843901818838322e-05,0.20400000000000001,13,True,True,False,False,0.16599362500710413
solimp_dmax,mujoco,3.12.0,0.5,4.0,1.0,0.99,0.99,implicitfast,Newton,100,1.2301924518870282,6,2.0564482616020188,0.0059974746580246695,0.006,0.0025253419753306153,0.0014276836508395649,2.1951179561552348e-05,9.748924471693791e-06,0.203,13,True,True,False,False,0.1692076250037644
