time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.789,4.999995508114807e-05,19.999720740569824,4,-9.088874719509477e-08
1.7895,4.9999929615296423e-05,20.000271002326695,4,4.8251468598436986e-08
1.79,4.99998677696567e-05,20.00016638745697,4,1.2297637397296057e-07
1.7905,4.999989323550835e-05,19.999663328593716,4,-4.988019242091468e-08
1.791,4.99999696330633e-05,19.99980412408063,4,-1.5044840040445706e-07
1.7915,4.999996235710569e-05,20.000319514978326,4,1.359957391144917e-08
1.792,4.999991142540239e-05,20.00019617279886,4,1.0170113284857507e-07
1.7925,4.999994416721165e-05,19.999680657746925,4,-6.225815951665936e-08
1.793,4.999991142540239e-05,20.00024768208137,4,6.490878945442091e-08
1.7934999999999999,4.9999951443169266e-05,19.999710625922326,4,-8.366399839587757e-08
1.794,4.9999925977317616e-05,20.00026511760939,4,5.245483691851405e-08
1.7945,4.9999864131677896e-05,20.000162774414527,4,1.2555712203266012e-07
1.795,4.9999889597529545e-05,19.999661226517407,4,-4.8378709038843226e-08
1.7954999999999999,4.9999965995084494e-05,19.999802901089286,4,-1.4957483074340416e-07
1.796,4.999995871912688e-05,20.000318803436464,4,1.4107818024911012e-08
1.7965,4.999990778742358e-05,20.00019573593314,4,1.0201317479641148e-07
1.797,4.9999940529232845e-05,19.999680403581984,4,-6.207661584767266e-08
1.7974999999999999,4.999990778742358e-05,20.000247534210104,4,6.501441163209165e-08
1.798,4.999994780519046e-05,19.99971053989073,4,-8.360255066008904e-08
1.7985,4.999992233933881e-05,20.000265067558928,4,5.249058787626382e-08
1.799,4.999986049369909e-05,20.000162743684527,4,1.255790635923404e-07
1.7994999999999999,4.999988595955074e-05,19.999661208645705,4,-4.8365944138595296e-08
1.8,4.999996235710569e-05,19.999802890692006,4,-1.4956741267724283e-07
1.8005,4.999995508114807e-05,20.000318797394474,4,1.4112133683852335e-08
1.801,4.9999904149444774e-05,20.000195732223574,4,1.0201582512081586e-07
1.8014999999999999,4.999993689125404e-05,19.999680401423223,4,-6.207507396993606e-08
1.802,4.9999904149444774e-05,20.000247532954212,4,6.501530691593871e-08
1.8025,4.999994416721165e-05,19.99971053916154,4,-8.360202485846457e-08
1.803,4.999991870136e-05,20.00026506713054,4,5.2490893409640194e-08
1.8034999999999999,4.999985685572028e-05,20.000162743421864,4,1.255792625443064e-07
1.804,4.999988232157193e-05,19.99966120848341,4,-4.8365830451757574e-08
1.8045,4.999995871912688e-05,19.99980289059945,4,-1.4956734162296925e-07
1.805,4.9999951443169266e-05,20.00031879733649,4,1.411217542823806e-08
1.8054999999999999,4.999990051146597e-05,20.000195732187716,4,1.0201585354252529e-07
1.806,4.999993325327523e-05,19.999680401400013,4,-6.207505265365398e-08
1.8065,4.999990051146597e-05,20.000247532936747,4,6.501532112679342e-08
