time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,solver_iterations
1.9445000000000001,0.7103999999999999,5.252071375911797e-06,2.3534380397985496e-05,29.429999994459155,0.7099249035305393,0.04824498156059791,0.054896297498890634,4,1.0581554720908242e-05,4.724996859699671e-05,19.61999518941575,0.709977683996646,0.07237287034398991,0.08125403799748766,4,1.068400450904917e-05,4.748204389427159e-05,9.809994316856287,0.7101360501794431,0.14477807575468882,0.15614155629422033,4,1
1.945,0.7112000000000002,5.2638517612273415e-06,2.35607706310878e-05,29.429999994460513,0.7107249035232291,0.04829934785300754,0.054966733948300525,4,1.0605206101636354e-05,4.730276145622716e-05,19.619995178501956,0.7107776839894338,0.07245441984290067,0.08135688304428695,4,1.0707771926906618e-05,4.7534835714889526e-05,9.80999430395985,0.710936050174099,0.1449411749173241,0.15633131592156782,4,1
1.9455,0.7120000000000001,5.275645341659364e-06,2.3587160864045103e-05,29.42999999444862,0.7115249035192591,0.048353714145665916,0.05503719246403021,4,1.0628883878794343e-05,4.735555431597965e-05,19.619995167563506,0.7115776839851737,0.07253596934229424,0.08145975677930213,4,1.0731565740675059e-05,4.758762753688326e-05,9.809994291039445,0.711736050170593,0.14510427408111756,0.15652110933645888,4,1
1.946,0.7128,5.287452117207955e-06,2.361355109718008e-05,29.429999994443257,0.712324903509726,0.04840808043793555,0.055107673055919945,4,1.0652588052382773e-05,4.7408347176860425e-05,19.619995156619265,0.7123776839759958,0.07261751884129884,0.08156265921395708,4,1.0755385950355486e-05,4.7640419360853793e-05,9.809994278110416,0.7125360501640274,0.1452673732448445,0.1567109365469663,4,1
1.9465000000000001,0.7135999999999999,5.29927208787308e-06,2.363994133025175e-05,29.429999994428265,0.7131249035043012,0.04846244673050025,0.055178175735494266,4,1.0676318622401987e-05,4.7461140038423645e-05,19.619995145653395,0.7131776839704445,0.07269906834084426,0.08166559036191041,4,1.0779232555948665e-05,4.769321118636162e-05,9.809994265159137,0.7133360501597145,0.1454304724097905,0.15690079756411382,4,1
1.947,0.7144000000000001,5.311105253654783e-06,2.366633156340493e-05,29.429999994435406,0.7139249034963951,0.04851681302285989,0.05524870051278042,4,1.0700075588852456e-05,4.7513932900938456e-05,19.61999513469579,0.7139776839627016,0.07278061784022678,0.08176855023480634,4,1.08031055574555e-05,4.7746003013674745e-05,9.809994252205495,0.7141360501540377,0.14559357157492417,0.15709069239620868,4,1
1.9475,0.7152000000000001,5.322951614553e-06,2.3692721796434413e-05,29.42999999442501,0.7147249034920302,0.0485711793154891,0.055319247399052626,4,1.0723858951734467e-05,4.756672576401942e-05,19.61999512371002,0.7147776839580888,0.07286216734012407,0.08187153884600921,4,1.0827004954876703e-05,4.779879484240937e-05,9.809994239228159,0.71493605015031,0.14575667074123796,0.15728062105393614,4,1
1.948,0.716,5.334811170567754e-06,2.37191120295067e-05,29.42999999441453,0.7155249034848208,0.04862554560792518,0.05538981640439988,4,1.0747668711048455e-05,4.761951862797481e-05,19.61999511271087,0.7155776839509651,0.07294371683990646,0.08197455620727079,4,1.0850930748213139e-05,4.785158667287132e-05,9.809994226235965,0.7157360501450208,0.14591976990788597,0.15747058354582694,4,1
1.9485000000000001,0.7167999999999999,5.346683921699043e-06,2.3745502262578567e-05,29.429999994409524,0.7163249034783311,0.048679911900401156,0.055460407539801526,4,1.0771504866794818e-05,4.767231149272803e-05,19.619995101705662,0.7163776839444748,0.07302526633986739,0.08207760233149142,4,1.087488293746563e-05,4.7904378504983724e-05,9.809994213231942,0.7165360501401248,0.14608286907522225,0.15766057988182708,4,1
1.949,0.7176000000000002,5.358569867946855e-06,2.377189249562344e-05,29.4299999943981,0.7171249034723133,0.04873427819291985,0.05553102081595243,4,1.079536741897393e-05,4.772510435822682e-05,19.619995090681122,0.7171776839384026,0.07310681584003448,0.08218067723125258,4,1.0898861522634978e-05,4.795717033869504e-05,9.809994200209683,0.7173360501354903,0.14624596824331612,0.15785061007154913,4,1
